time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-10T15:33:47.000Z,56.4325,-156.2994,116.4,3.2,ml,,,,0.65,ak,ak11622703,2015-06-10T15:52:30.305Z,"79km NNW of Chirikof Island, Alaska",earthquake
2015-06-10T15:26:05.220Z,32.3328333,-115.3493333,15.306,2.55,ml,12,200,0.09421,0.27,ci,ci37396800,2015-06-10T15:30:36.628Z,"15km W of Delta, B.C., MX",earthquake
2015-06-10T13:52:08.890Z,-22.4108,-68.3299,121.58,6,mwb,,23,0.573,1.55,us,us20002nkt,2015-06-10T16:02:44.338Z,"57km NNW of San Pedro de Atacama, Chile",earthquake
2015-06-10T13:14:29.000Z,56.5995,-156.7932,77.1,3.7,ml,,,,0.85,ak,ak11622594,2015-06-10T13:35:05.421Z,"112km NW of Chirikof Island, Alaska",earthquake
2015-06-10T13:05:08.670Z,36.3007,-97.5288,4.78,3.7,mb_lg,,69,0.506,0.19,us,us20002nk3,2015-06-10T15:06:26.661Z,"21km W of Perry, Oklahoma",earthquake
2015-06-10T11:41:24.000Z,56.7313,-156.5854,49.8,3.7,ml,,,,0.85,ak,ak11622549,2015-06-10T11:57:22.866Z,"117km NNW of Chirikof Island, Alaska",earthquake
2015-06-10T11:07:28.390Z,-18.2211,-178.0915,577.48,4.8,mb,,96,3.7,0.72,us,us20002njs,2015-06-10T11:32:19.901Z,"276km NNE of Ndoi Island, Fiji",earthquake
2015-06-10T10:25:22.470Z,35.6923,141.0457,50.79,4.7,mb,,117,0.877,0.83,us,us20002njn,2015-06-10T13:42:57.940Z,"19km ESE of Hasaki, Japan",earthquake
2015-06-10T10:15:52.670Z,-18.3054,-178.0526,554.24,5,mb,,77,7.447,0.76,us,us20002njk,2015-06-10T10:32:16.173Z,"268km NNE of Ndoi Island, Fiji",earthquake
2015-06-10T09:41:46.250Z,34.5158333,-118.9031667,0.54,2.54,ml,70,22,0.1429,0.28,ci,ci37396632,2015-06-10T15:15:53.200Z,"13km N of Fillmore, California",earthquake
2015-06-10T09:29:34.270Z,51.2735,-178.2022,32.18,4.9,mb,,149,0.874,0.86,us,us20002nje,2015-06-10T09:50:21.444Z,"63km E of Amatignak Island, Alaska",earthquake
2015-06-10T09:20:48.800Z,18.3537,-66.3386,89,2.6,Md,5,144,0.21829061,0.07,pr,pr15161007,2015-06-10T13:08:36.081Z,"2km WNW of Corozal, Puerto Rico",earthquake
2015-06-10T09:20:00.600Z,18.3612,-66.3389,90,2.7,Md,7,147.6,0.21379904,0.07,pr,pr15161006,2015-06-10T13:08:07.860Z,"3km NW of Corozal, Puerto Rico",earthquake
2015-06-10T08:44:44.480Z,39.4822,143.9307,19.78,4.7,mb,,169,2.597,1.03,us,us20002nj9,2015-06-10T09:13:58.284Z,"170km E of Miyako, Japan",earthquake
2015-06-10T08:33:21.000Z,60.023,-152.686,39.3,2.5,ml,,,,1.06,ak,ak11622425,2015-06-10T08:52:17.774Z,"51km S of Redoubt Volcano, Alaska",earthquake
2015-06-10T08:33:02.610Z,39.6406,143.3559,26.05,5.5,mb,,124,2.35,1.13,us,us20002nj8,2015-06-10T12:57:31.000Z,"120km E of Miyako, Japan",earthquake
2015-06-10T05:40:14.750Z,11.6994,140.8475,89.4,4.7,mb,,115,4.35,0.87,us,us20002nii,2015-06-10T13:43:06.147Z,"216km N of Fais, Micronesia",earthquake
2015-06-10T04:56:20.000Z,61.6274,-150.9001,62.5,3.6,ml,,,,0.86,ak,ak11622293,2015-06-10T09:01:24.149Z,"47km WSW of Willow, Alaska",earthquake
