Contract ID,"Sub Contract Reference ID","Purpose","Version","Original Amount","Current Amount","Spent To Date","Vendor","Sub Vendor","Associated Prime Vendor","Contracting Agency","Contract Type","Award Method","Expense Category","Industry","Start Date","End Date","Registration Date","PIN","APT PIN","M/WBE Category"
"CT104020149454206","","UPK-Universal Pre-Kindergarten Service","2","108800","108800","54400","NEW YORK LEAGUE EARLY LEARNING INC","No","N/A","Department of Education","PROGRAMS","RENEWAL OF CONTRACT","PMTS CONTRACT/CORPORAT SCHOOL","Human Services","07/01/2013","06/30/2015","12/18/2013","R0819","","Non-M/WBE"
"CT104020149454431","","UPK- Universal Pre-Kimdergarten service","2","108800","108800","68000","CATHOLIC SCHOOL REGION OF STATEN ISLAND","No","N/A","Department of Education","PROGRAMS","ASSIGNMENT","PMTS CONTRACT/CORPORAT SCHOOL","Human Services","07/01/2013","06/30/2014","01/16/2014","R0736","","Non-M/WBE"
"CT181920141428141","","IMAGING SYSTEMS","1","108752","108752","108752","PHILIPS ELECTRONICS NORTH AMERICA CORP","No","N/A","Health and Hospitals Corporation","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","CAPITAL PURCHASED EQUIPMENT","Goods","06/16/2014","09/16/2016","06/27/2014","000000","","Non-M/WBE"
"CT184620141411597","007","Supplier of Safety Surface for PS 38 Playground RG-913M","1","108720","108720","108720","MITCHELL RUBBER PRODUCTS","Yes","MARGARELLA INDUSTRIAL CONSTRUCTION CORP.","Department of Parks and Recreation","CONSTRUCTION","COMPETITIVE SEALED BIDDING","","Professional Services","08/20/2014","08/22/2014","12/17/2013","","","Non-M/WBE"
"CT181620141425549","","CityWide In-Home Respite for Specialized Care","5","85000","108649.84","97527.08","GOTHAM PER DIEM INC","No","N/A","Department of Health and Mental Hygiene","PROGRAMS","NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN","MENTAL HYGIENE SERVICES","Human Services","01/01/2014","06/30/2014","06/11/2014","81608X0125CNVA002","","Non-M/WBE"
"CTA182020147207246","","Citywide Standby Information Technology and Telecommunicatio","1","108640","108640","94381","COMSYS INFORMATION TECHNOLOGY SERVICES, LLC","No","N/A","Office of Administrative Trials and Hearings","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","04/28/2014","12/31/2014","06/23/2014","85811O0027001N002","","Non-M/WBE"
"CT104220131430152","","AUDIO & LIGHTING SYSTEM - WILLIAMSON THEATER - STATEN ISLAND","1","108615.69","108615.69","107591.57","B & H FOTO & ELECTRONICS CORP","No","N/A","City University of New York","SUPPLIES/MATERIALS/EQUIPMENT","INTERGOVERNMENTAL PROCUREMENT","CAPITAL PURCHASED EQUIPMENT","Goods","06/03/2013","07/31/2013","08/06/2013","04213ST004-003062413","","Non-M/WBE"
"CTA180620157202642","","ITCS3: DOT NET WEB PROGRAMMER FOR MODERNIZATION PROJECT","2","65991.24","108588.76","0","GCOM SOFTWARE INC","No","N/A","Housing Preservation and Development","CONSULTANT","MULTIPLE AWARDS","CAPITAL PURCHASED EQUIPMENT","Professional Services","05/01/2014","01/31/2015","01/14/2015","806141000763","","Asian American"
"MA185720140000301","","PROCURE CADAVER BAGS & BADY POUCHES FOR NYC","1","108540","108540","167823.4","SALAM INTERNATIONAL INC","No","N/A","DCASDIVISION OF MUNICIPAL SUPPLY SERVICE","DMS-REQUIREMENTSCONTRACT(RC)","COMPETITIVE SEALED BIDDING","","Goods","09/01/2013","08/31/2018","07/09/2013","85713B0148001","3387204/1300047","Non-M/WBE"
"CT112620141409821","","SUPPORT GRANTEES MISSION AND CULTURAL EVENTS","2","105990","108530","108530","ROULETTE INTERMEDIUM INC","No","N/A","Department of Cultural Affairs","PROGRAMS","GRANTS","PAY TO CULTURAL INSTITUTIONS","Human Services","07/01/2013","06/30/2014","11/19/2013","126143800056","","Non-M/WBE"
