dog_name,gender,breed,birth,dominant_color,secondary_color,third_color,spayed_or_neutered,guard_or_trained,borough,zip_code
Buddy,M,Afghan Hound,Jan-00,BRINDLE,BLACK,n/a,Yes,No,Manhattan,10003
Nicole,F,Afghan Hound,Jul-00,BLACK,n/a,n/a,Yes,No,Manhattan,10021
Abby,F,Afghan Hound,Nov-00,BLACK,TAN,n/a,Yes,No,Manhattan,10034
Chloe,F,Afghan Hound,Jan-02,WHITE,BLOND,n/a,Yes,No,Manhattan,10024
Jazzle,F,Afghan Hound,Oct-02,BLOND,WHITE,BLACK,Yes,No,Manhattan,10022
Trouble,M,Afghan Hound,Jan-03,BLOND,WHITE,BLACK,Yes,No,Bronx,10472
Grace,F,Afghan Hound,Jun-03,CREAM,n/a,n/a,Yes,No,Manhattan,10021
Sisu,M,Afghan Hound,Oct-04,BLACK,WHITE,GRAY,No,No,Manhattan,10023
Jakie,M,Afghan Hound,Feb-05,WHITE,n/a,n/a,No,No,Queens,11354
Geo,M,Afghan Hound,Jan-07,ORANGE,WHITE,n/a,Yes,No,Bronx,10469
Ginger,F,Afghan Hound,Jan-07,TAN,WHITE,n/a,Yes,No,Bronx,10473
Misty,F,Afghan Hound,Jul-07,TAN,WHITE,BROWN,Yes,No,Bronx,10473
Troy,M,Afghan Hound,Jul-09,BLOND,RUST,BLACK,Yes,No,Staten Island,10308
Nick,M,Afghan Hound,Nov-09,BLACK,TAN,WHITE,No,No,Queens,11385
Prince,M,Afghan Hound,Jan-10,TAN,BLOND,BLACK,Yes,No,Queens,11364
KIKU-NO-HM,F,Akita,Jan-98,GRAY,WHITE,BLACK,Yes,No,Manhattan,10023
Sasha,F,Akita,Jan-98,WHITE,BROWN,BLACK,Yes,No,Manhattan,10038
Bernie,M,Akita,Jan-99,WHITE,TAN,BLACK,No,No,Queens,11373
Coffee,F,Akita,Jan-99,BROWN,WHITE,n/a,Yes,No,Bronx,10457
Elsa,n/a,Akita,Jan-99,TAN,BRINDLE,n/a,Yes,No,Brooklyn,11206
Jason,M,Akita,Jan-99,BLACK,WHITE,n/a,Yes,No,Queens,11357
Socrates,M,Akita,Jan-99,WHITE,RUST,BLACK,Yes,No,Queens,11423
Suki,F,Akita,Jan-99,RUST,WHITE,BLACK,Yes,No,Staten Island,10309
Angel,F,Akita,Sep-99,RUST,n/a,n/a,Yes,No,Staten Island,10310
Aspen,F,Akita,Jan-00,BROWN,WHITE,n/a,Yes,No,Brooklyn,11235
Bear,M,Akita,Jan-00,BLACK,WHITE,n/a,Yes,No,Queens,11420
Buster,M,Akita,Jan-00,WHITE,BLACK,n/a,Yes,No,Queens,11421
CHIYO-KYRA,F,Akita,Jan-00,BRINDLE,WHITE,n/a,Yes,No,Queens,11379
Chula,F,Akita,Jan-00,WHITE,BROWN,n/a,Yes,No,Queens,11412
Kita,F,Akita,Jan-00,RUST,TAN,BLACK,Yes,No,Brooklyn,11207
Nicki,F,Akita,Jan-00,BLACK,WHITE,n/a,Yes,No,Bronx,10463
Nikita,F,Akita,Jan-00,WHITE,BROWN,n/a,Yes,No,Queens,11357
Ralph,M,Akita,Jan-00,TAN,WHITE,n/a,Yes,No,Queens,11362
Rambo,M,Akita,Jan-00,TAN,WHITE,BLACK,No,No,Queens,11368
Shoko,M,Akita,Feb-00,TAN,BLACK,WHITE,No,No,Brooklyn,11205
Bear,M,Akita,Jan-01,BLOND,WHITE,n/a,No,No,Bronx,10473
DARIUS,M,Akita,Jan-01,WHITE,TAN,BLACK,No,No,Queens,11372
Lady,F,Akita,Jan-01,TAN,WHITE,BLACK,Yes,Yes,Queens,11377
Oreo,F,Akita,Jan-01,BLACK,WHITE,n/a,Yes,No,Staten Island,10309
Prince,M,Akita,Jan-01,BLOND,n/a,n/a,Yes,No,Queens,11372
Sabastian,M,Akita,Jan-01,WHITE,BLACK,n/a,No,No,Manhattan,10002
NICKO,F,Akita,Apr-01,TAN,BLACK,WHITE,Yes,No,Bronx,10467
AKIRO,M,Akita,Jan-02,TAN,WHITE,BLACK,Yes,No,Bronx,10457
Annie,F,Akita,Jan-02,WHITE,GRAY,n/a,Yes,No,Manhattan,10128
King,M,Akita,Jan-02,BROWN,WHITE,TAN,Yes,No,Bronx,10469
SCOOBYDORA,F,Akita,Jan-02,BROWN,BLACK,WHITE,No,No,Queens,11697
TENSHI,F,Akita,Jan-02,TAN,BLACK,WHITE,Yes,No,Manhattan,10021
Yuki,F,Akita,Jan-02,BLACK,WHITE,GRAY,No,No,Bronx,10455
Grizz,M,Akita,Mar-02,RUST,n/a,n/a,No,No,Manhattan,10037
Bear,M,Akita,Aug-02,WHITE,n/a,n/a,Yes,No,Manhattan,10028
Sukiyaki,F,Akita,Oct-02,BRINDLE,WHITE,n/a,Yes,No,Manhattan,10024
Amy,F,Akita,Jan-03,BROWN,BLACK,WHITE,Yes,No,Manhattan,10023
Asia,F,Akita,Jan-03,BLACK,WHITE,TAN,Yes,No,Bronx,10466
Laki,M,Akita,Jan-03,BLACK,WHITE,n/a,No,No,Queens,11385
Lucy,F,Akita,Jan-03,WHITE,BLACK,n/a,Yes,No,Manhattan,10014
Luna,F,Akita,Jan-03,WHITE,APRICOT,n/a,No,No,Brooklyn,11211
Mugs,M,Akita,Jan-03,TAN,WHITE,BLACK,Yes,No,Staten Island,10312
Nicki,M,Akita,Jan-03,WHITE,BROWN,n/a,No,No,Queens,11379
PUKI,F,Akita,Jan-03,BLACK,WHITE,n/a,Yes,No,Queens,11421
Star,n/a,Akita,Jan-03,WHITE,BROWN,n/a,Yes,No,Queens,11434
Sydney,F,Akita,Jan-03,BROWN,WHITE,BLACK,Yes,No,Manhattan,10029
Yoshi,F,Akita,Jan-03,BRINDLE,WHITE,n/a,Yes,No,Bronx,10470
Babe,M,Akita,Jan-04,WHITE,BRINDLE,n/a,Yes,No,Queens,11356
HEAVENSENT,F,Akita,Jan-04,BROWN,WHITE,BLACK,Yes,No,Queens,11375
Kobi,F,Akita,Jan-04,BRINDLE,WHITE,GRAY,No,No,Bronx,10455
Nikita,M,Akita,Jan-04,BRINDLE,n/a,n/a,Yes,No,Manhattan,10128
Rocky,M,Akita,Jan-04,WHITE,TAN,BLACK,No,No,Queens,11362
Romeo,M,Akita,Jan-04,BRINDLE,WHITE,n/a,Yes,No,Brooklyn,11234
Tara,F,Akita,Jan-04,TAN,BLACK,WHITE,No,No,Manhattan,10009
Tara,F,Akita,Jan-04,WHITE,n/a,n/a,Yes,No,Queens,11373
Tasha,F,Akita,Jan-04,BROWN,n/a,n/a,Yes,No,Queens,11379
Bella,F,Akita,Sep-04,BLACK,WHITE,TAN,Yes,No,Staten Island,10312
Yoji,M,Akita,Nov-04,BLACK,WHITE,n/a,Yes,No,Queens,11355
Tyson,M,Akita,Dec-04,WHITE,TAN,n/a,Yes,No,Queens,11693
Cookie,F,Akita,Jan-05,BLACK,WHITE,TAN,Yes,No,Staten Island,10305
Jax,M,Akita,Jan-05,BLACK,WHITE,GRAY,No,No,Queens,11379
KELBY,M,Akita,Jan-05,BLACK,GRAY,WHITE,No,No,Brooklyn,11231
Kiko,M,Akita,Jan-05,BROWN,WHITE,BLACK,No,No,Staten Island,10312
n/a,F,Akita,Jan-05,BLOND,WHITE,n/a,No,No,Manhattan,10016
Snowball,M,Akita,Jan-05,WHITE,BROWN,BLACK,No,No,Brooklyn,11212
Bogie,M,Akita,Jun-05,BLACK,n/a,n/a,Yes,No,Bronx,10467
WON,M,Akita,Jul-05,WHITE,BROWN,n/a,No,No,Queens,11104
Ginger,F,Akita,Oct-05,WHITE,TAN,n/a,Yes,No,Brooklyn,11209
Bear,M,Akita,Jan-06,BRINDLE,TAN,n/a,No,No,Brooklyn,11235
Buddy,M,Akita,Jan-06,BLACK,TAN,n/a,No,No,Bronx,10470
Coquito,M,Akita,Jan-06,TAN,n/a,n/a,Yes,No,Bronx,10465
HENESSEY,F,Akita,Jan-06,BLACK,WHITE,n/a,Yes,No,Brooklyn,11219
KICHI,F,Akita,Jan-06,BROWN,WHITE,BLACK,No,No,Brooklyn,11203
Yogi,M,Akita,Jan-06,WHITE,BLACK,BROWN,No,No,Queens,11362
Brandy,F,Akita,Mar-06,TAN,n/a,n/a,Yes,No,Queens,11379
Chester,M,Akita,Sep-06,BLACK,n/a,n/a,Yes,No,Queens,11423
Jazzy,F,Akita,Sep-06,BLOND,BLACK,WHITE,Yes,No,Queens,11423
Seven,M,Akita,Oct-06,BLOND,TAN,n/a,Yes,No,Queens,11412
KIRA-A,F,Akita,Nov-06,RUST,n/a,n/a,Yes,No,Brooklyn,11219
Layla,F,Akita,Dec-06,BLACK,WHITE,TAN,Yes,No,Queens,11385
Charlie,M,Akita,Jan-07,BRINDLE,BLACK,n/a,Yes,No,Brooklyn,11224
Reggie,M,Akita,Jan-07,RUST,WHITE,BLACK,No,No,Brooklyn,11238
Rocco,M,Akita,Jan-07,SILVER,BLACK,n/a,Yes,No,Staten Island,10305
Saki,F,Akita,Jan-07,WHITE,BROWN,BLACK,Yes,No,Bronx,10452
Stella,F,Akita,Jan-07,WHITE,BROWN,BLACK,Yes,No,Brooklyn,11215
Mica,F,Akita,Feb-07,WHITE,BROWN,n/a,Yes,No,Staten Island,10310
Bubba,M,Akita,Mar-07,BLACK,WHITE,BROWN,Yes,No,Brooklyn,11235
Nelly,F,Akita,May-07,BLACK,TAN,BROWN,Yes,No,Manhattan,10011
Hiroshi,M,Akita,Sep-07,WHITE,FAWN,BLACK,Yes,No,Queens,11418
MATAGI,M,Akita,Sep-07,WHITE,BROWN,n/a,Yes,No,Brooklyn,11218
Kimba,F,Akita,Oct-07,BROWN,WHITE,n/a,No,No,Bronx,10452
Shiloh,F,Akita,Oct-07,WHITE,BLACK,n/a,Yes,No,Bronx,10473
Arnie,M,Akita,Dec-07,TAN,WHITE,BLACK,Yes,No,Brooklyn,11223
Gus,M,Akita,Jan-08,BLACK,GRAY,WHITE,Yes,No,Manhattan,10003
Benny,M,Akita,Mar-08,BROWN,WHITE,n/a,Yes,No,Brooklyn,11228
KC,F,Akita,Mar-08,BRINDLE,BLACK,WHITE,Yes,No,Brooklyn,11228
Lucy,F,Akita,May-08,TAN,WHITE,BLACK,Yes,No,Staten Island,10308
Roni,M,Akita,May-08,BLACK,WHITE,n/a,No,No,Queens,11385
Shiro,M,Akita,Sep-08,WHITE,n/a,n/a,No,No,Manhattan,10013
ROSKY,M,Akita,Oct-08,WHITE,BROWN,GRAY,No,No,Bronx,10463
Saijin,M,Akita,Dec-08,WHITE,TAN,BLACK,Yes,No,Manhattan,10038
Tank,M,Akita,Dec-08,BLACK,WHITE,BROWN,Yes,No,Staten Island,10308
Yuki,F,Akita,Jan-09,RUST,TAN,WHITE,Yes,No,Queens,11418
Winston,M,Akita,Feb-09,FAWN,BROWN,BLACK,Yes,No,Manhattan,10021
Tobi,M,Akita,May-09,TAN,WHITE,BLACK,Yes,No,Queens,11432
Lacy,F,Akita,Jun-09,BLACK,WHITE,BROWN,Yes,No,Bronx,10469
Mink,M,Akita,Jun-09,ORANGE,BLACK,WHITE,No,No,Queens,11412
GUNNY,M,Akita,Jul-09,BLACK,SILVER,WHITE,Yes,No,Queens,11435
DOGEN,M,Akita,Oct-09,WHITE,BROWN,BLACK,Yes,No,Brooklyn,11249
Chaka,F,Akita,Dec-09,BROWN,WHITE,n/a,No,No,Queens,11412
Jade,F,Akita,Dec-09,WHITE,BLACK,BROWN,Yes,No,Queens,11354
Milo,M,Akita,Dec-09,WHITE,FAWN,BLACK,Yes,No,Queens,11101
Max,M,Akita,May-10,FAWN,WHITE,BLACK,No,No,Bronx,10459
Roxy,F,Akita,May-10,FAWN,n/a,n/a,No,No,Bronx,10459
Junior,M,Akita,Aug-10,BROWN,WHITE,n/a,Yes,No,Brooklyn,11234
Lucky,M,Akita,Aug-10,FAWN,n/a,n/a,Yes,No,Queens,11362
Lana,F,Akita,Sep-10,BLACK,BROWN,WHITE,No,No,Queens,11372
Leo,M,Akita,Sep-10,BLACK,BROWN,WHITE,No,No,Queens,11372
Major,M,Akita,Nov-10,BLACK,BROWN,WHITE,Yes,No,Manhattan,10036
Sweetie,F,Akita,Nov-10,BROWN,BLACK,WHITE,No,No,Manhattan,10039
Cruise,M,Akita,Jan-11,APRICOT,n/a,n/a,No,No,Brooklyn,11221
Gucci,M,Akita,Apr-11,WHITE,BLACK,TAN,No,No,Queens,11102
n/a,F,Akita,Oct-11,FAWN,WHITE,n/a,Yes,No,Queens,11368
Princess,F,Akita,Oct-11,RED,WHITE,n/a,No,No,Queens,11422
Hope,F,Akita,Nov-11,BRINDLE,n/a,n/a,No,No,Bronx,10462
Willoughby,M,Akita Crossbreed,Jan-97,TAN,WHITE,BLACK,Yes,No,Manhattan,10029
Keyma,F,Akita Crossbreed,Oct-97,BLOND,TAN,WHITE,Yes,No,Manhattan,10038
Ben,M,Akita Crossbreed,Jan-98,BRINDLE,BLACK,n/a,Yes,No,Manhattan,10024
Nikko,M,Akita Crossbreed,Jan-98,RUST,n/a,n/a,No,No,Queens,11414
Blondie,F,Akita Crossbreed,Jan-99,BLOND,TAN,n/a,Yes,No,Brooklyn,11235
Six,M,Akita Crossbreed,Jan-99,TAN,WHITE,BLACK,Yes,No,Brooklyn,11235
Dina,F,Akita Crossbreed,Jan-00,WHITE,BLACK,n/a,Yes,No,Bronx,10469
Kato,M,Akita Crossbreed,Jan-00,BLACK,BROWN,n/a,Yes,No,Bronx,10461
Obe,M,Akita Crossbreed,Jan-00,BROWN,WHITE,n/a,Yes,No,Bronx,10467
CHRITON,M,Akita Crossbreed,Jan-01,BLACK,WHITE,n/a,Yes,No,Queens,11370
Anastasia,F,Akita Crossbreed,Jan-02,BROWN,WHITE,BLACK,Yes,No,Staten Island,10301
KASHIMA,F,Akita Crossbreed,Jan-02,BRINDLE,WHITE,n/a,Yes,No,Manhattan,10021
Aponte,M,Akita Crossbreed,Sep-02,BRINDLE,WHITE,n/a,Yes,No,Queens,11361
Wynter,F,Akita Crossbreed,Nov-02,WHITE,n/a,n/a,Yes,No,Queens,11368
Skittles,F,Akita Crossbreed,Jan-03,BRINDLE,WHITE,n/a,Yes,No,Brooklyn,11238
